Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,88,60,120000,89045.48894318285,3120.72849998367,120482.62619998422,145.8068181818182,0.3110727677582482,0.21209506892607832,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
POST,/auth/login,50,1,92000,68190.09283200256,13156.216500006849,98740.69100001361,136.78,0.17674589077173194,0.003534917815434639,92000,94000,94000,95000,99000,99000,99000,99000,99000,99000,99000
POST,/auth/signup,50,49,5600,5952.735854000202,1326.4429999981076,12544.507500017062,32.88,0.17674589077173194,0.1732109729562973,5600,8700,10000,10000,12000,12000,13000,13000,13000,13000,13000
,Aggregated,188,110,62000,61399.70458138417,1326.4429999981076,120482.62619998422,113.37234042553192,0.664564549301712,0.38884095969781024,62000,94000,120000,120000,120000,120000,120000,120000,120000,120000,120000
