Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,66,52,120000,100925.01960757717,13.968100014608353,120729.70540000824,255.0,0.30361218883459434,0.23920960332422586,120000,120000,121000,121000,121000,121000,121000,121000,121000,121000,121000
POST,/auth/login,50,0,66000,55898.52951000098,12457.967099995585,73112.39850000129,139.0,0.2300092339656018,0.0,66000,68000,68000,70000,71000,71000,73000,73000,73000,73000,73000
POST,/auth/signup,50,49,5300,5817.219410003163,814.7058000031393,15911.891299998388,32.88,0.2300092339656018,0.22540904928628974,5300,7100,9900,10000,12000,12000,16000,16000,16000,16000,16000
,Aggregated,166,101,64000,58715.8960247006,13.968100014608353,120729.70540000824,153.15662650602408,0.7636306567657979,0.4646186526105156,64000,70000,120000,120000,121000,121000,121000,121000,121000,121000,121000
