Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,120,24,60000,54416.69269750154,2516.0290999920107,120089.69769999385,1007.2416666666667,0.4895564007505676,0.09791128015011352,60000,74000,74000,75000,86000,102000,120000,120000,120000,120000,120000
POST,/auth/login,50,10,22000,27533.040812001564,4907.995799992932,76265.98440000089,111.2,0.20398183364606984,0.04079636672921397,22000,35000,36000,37000,39000,64000,76000,76000,76000,76000,76000
POST,/auth/signup,50,49,930,3258.8760720018763,222.2738999989815,14011.168199998792,31.56,0.20398183364606984,0.19990219697314845,930,4500,5800,6000,8500,9500,14000,14000,14000,14000,14000
,Aggregated,220,83,33000,36679.99530863797,222.2738999989815,120089.69769999385,581.85,0.8975200680427073,0.33860984385247594,33000,53000,62000,72000,76000,88000,106000,120000,120000,120000,120000
