Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,52,48,120000,99335.71460000254,241.85039999429137,120367.13779999991,97.98076923076923,0.2090387175452271,0.19295881619559427,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
POST,/auth/login,76,8,41000,98401.14724078815,289.92849998758174,235757.6715000032,124.73684210526316,0.3055181256430242,0.03215980269926571,41000,206000,207000,207000,207000,236000,236000,236000,236000,236000,236000
POST,/auth/signup,100,100,33000,28496.464369998714,802.8636999952141,237769.3819999986,33.0,0.40199753374082137,0.40199753374082137,33000,35000,35000,36000,47000,165000,238000,238000,238000,238000,238000
,Aggregated,228,156,36000,67954.34555482413,241.85039999429137,237769.3819999986,78.39912280701755,0.9165543769290727,0.6271161526356813,36000,53000,120000,120000,207000,207000,236000,236000,238000,238000,238000
